learning_rate: 0.001, training_size: 500, batch_size: 50, num_epochs: 20, dataset_type: 1, dataset_size: 100, data_augmentation: False, model_type: 1, exp_name: simple_transfer, loss: 0.254123056054, acc: 0.951111111149
val_loss,val_acc,loss,acc
1.91206154,0.58942857,0.20687661,0.93760000
2.14773064,0.59428572,0.13014893,0.96028000
2.25777922,0.60014286,0.12242103,0.96436000
2.70682522,0.57871429,0.10141208,0.96836000
2.73140736,0.57742857,0.08666059,0.97328000
2.68962612,0.58771429,0.09463785,0.97276000
3.02176721,0.57057143,0.08578900,0.97444000
3.05962618,0.58157143,0.08191708,0.97596000
3.18076222,0.56971429,0.07958453,0.97612000
3.36955436,0.56742857,0.07566613,0.97716000
3.53845611,0.56814286,0.06662656,0.97996000
3.25762700,0.58700000,0.06635846,0.97884000
3.33937650,0.58757143,0.06874409,0.98012000
3.57400852,0.56814286,0.06655168,0.97980000
3.56573792,0.58100000,0.06720643,0.98080000
3.60135705,0.58671429,0.05836301,0.98176000
3.80729213,0.57071429,0.05853266,0.98224000
3.63817774,0.58100000,0.06507772,0.98064000
3.87938270,0.57685715,0.04778178,0.98452000
3.61469617,0.59257143,0.04737884,0.98516000
