learning_rate: 0.001, training_size: 500, batch_size: 50, num_epochs: 20, dataset_type: 2, dataset_size: 1, data_augmentation: False, model_type: 1, exp_name: simple_transfer, loss: 0.0439471833644, acc: 0.992063492063
val_loss,val_acc,loss,acc
2.34853042,0.32507936,0.75974964,0.87048000
2.90334646,0.33222222,0.18744397,0.99612000
3.42364409,0.33158730,0.08578388,0.99988000
3.75298818,0.33301587,0.04840095,1.00000000
4.03293225,0.33301587,0.03127966,1.00000000
4.25771817,0.33238095,0.02124083,1.00000000
4.55562455,0.33507937,0.01481907,1.00000000
4.72095633,0.33476191,0.01103113,1.00000000
4.90090173,0.33396825,0.00800490,1.00000000
5.06722048,0.33492064,0.00608985,1.00000000
5.29890359,0.33492063,0.00471959,1.00000000
5.40179516,0.33523810,0.00358428,1.00000000
5.55248268,0.33444445,0.00278312,1.00000000
5.66665860,0.33460317,0.00212662,1.00000000
5.88848809,0.33365079,0.00168992,1.00000000
5.96046325,0.33380952,0.00129694,1.00000000
6.06685854,0.33476190,0.00102819,1.00000000
6.23063012,0.33396825,0.00079925,1.00000000
6.29694543,0.33365079,0.00063599,1.00000000
6.43136709,0.33396825,0.00049568,1.00000000
