learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 20, dataset_type: 1, dataset_size: 1, model_type: 2, exp_name: c_1, loss: 0.577395088143, acc: 0.873015874908
val_loss,val_acc,loss,acc
2.72786035,0.33242857,3.14653990,0.27551020
1.88744115,0.50214286,1.68424486,0.61224490
1.94392411,0.53971429,0.98469148,0.81632652
1.82857142,0.56542857,0.73843277,0.88095237
1.98453312,0.59128572,0.61414360,0.92176871
1.83224311,0.61071429,0.50300277,0.95918367
1.82366056,0.61685715,0.43904360,0.96258503
1.98379693,0.60657143,0.39612743,0.99319729
1.97471059,0.61642857,0.37443061,1.00000000
1.97830391,0.61785715,0.35046142,1.00000000
1.93450692,0.62342857,0.33556587,1.00000000
2.02440499,0.61228572,0.32118940,1.00000000
1.98913464,0.61757143,0.31070765,1.00000000
1.99040378,0.61814286,0.30105112,1.00000000
2.03699104,0.61800000,0.29280579,1.00000000
2.03764905,0.61885715,0.28524042,1.00000000
2.02169125,0.61857143,0.27792111,1.00000000
2.03989214,0.61942858,0.27125497,1.00000000
2.02646606,0.61728572,0.26481407,1.00000000
2.03271809,0.61942858,0.25850714,1.00000000
