learning_rate: 0.001, training_size: 2000, batch_size: 50, num_epochs: 20, dataset_type: 1, dataset_size: 75, model_type: 1, exp_name: c_0, loss: 0.20764077782, acc: 0.94962962963
val_loss,val_acc,loss,acc
1.49380259,0.68414286,0.82952579,0.88866213
1.52490650,0.69871429,0.37735742,0.93990930
1.26251976,0.69514286,0.28374197,0.95002267
1.35160266,0.68057143,0.23860909,0.95337868
1.23969297,0.69185715,0.21745058,0.95405896
1.43574671,0.66928572,0.20227399,0.95628118
1.44989018,0.68757143,0.18845557,0.95800453
1.19398680,0.68528572,0.19489071,0.95315193
1.57096988,0.67300000,0.18838367,0.95750567
1.22592825,0.69157144,0.18217179,0.95804989
1.50388535,0.67214287,0.17635921,0.95873016
1.27899589,0.68785715,0.17585909,0.95986394
1.42230222,0.68871429,0.18546875,0.95551020
1.19016917,0.70000001,0.17142816,0.96054422
1.36874744,0.67628572,0.16908331,0.96113379
1.39530484,0.69757143,0.16827804,0.96095238
1.39782460,0.66771429,0.16787169,0.96004535
1.30953521,0.68942858,0.17130223,0.95850340
1.29557436,0.69071429,0.17740640,0.95795918
1.66760558,0.66985715,0.17388921,0.95945578
