Learning rate,Dataset,Dataset size,Model,Activation,Accuracy,Error
0.01,clothes,10.0,1.0, elu,0.459428578615,12.931936264
0.01,clothes,1.0,1.0, elu,0.568285703659,9.34121131897
0.01,clothes,0.1,1.0, elu,0.151571422815,15.3301296234
0.001,clothes,100.0,1.0, elu,0.761714279652,0.895034790039
0.001,clothes,10.0,1.0, elu,0.735857129097,2.24060106277
0.001,clothes,1.0,1.0, elu,0.719285726547,3.27234578133
0.0001,clothes,100.0,1.0, elu,0.744142830372,1.27448034286
0.0001,clothes,10.0,1.0, elu,0.651142835617,3.5381526947
0.0001,clothes,1.0,1.0, elu,0.531142830849,5.06348800659
0.0001,clothes,0.1,1.0, elu,0.28228572011,9.5319442749
0.1,clothes,100.0,1.0, sigmoid,0.287000000477,32.4101409912
0.01,clothes,100.0,1.0, sigmoid,0.696857154369,2.99171376228
0.01,clothes,10.0,1.0, sigmoid,0.660714268684,2.92905974388
0.01,clothes,1.0,1.0, sigmoid,0.740571439266,1.27168655396
0.01,clothes,0.1,1.0, sigmoid,0.580857157707,1.93769192696
0.001,clothes,100.0,1.0, sigmoid,0.767857134342,0.880304157734
0.001,clothes,10.0,1.0, sigmoid,0.777285695076,0.834299504757
0.001,clothes,1.0,1.0, sigmoid,0.748000025749,0.961032748222
0.001,clothes,0.1,1.0, sigmoid,0.520428597927,2.23329424858
0.0001,clothes,100.0,1.0, sigmoid,0.773428559303,0.712672889233
0.0001,clothes,10.0,1.0, sigmoid,0.784857153893,0.931665062904
0.0001,clothes,1.0,1.0, sigmoid,0.655571401119,2.36136579514
0.0001,clothes,0.1,1.0, sigmoid,0.266142845154,3.50773525238
0.1,clothes,100.0,2.0, relu,0.142857134342,13.8234786987
0.01,clothes,100.0,2.0, relu,0.699571430683,1.23942470551
0.001,clothes,100.0,2.0, relu,0.744857132435,0.888416826725
0.0001,clothes,100.0,2.0, relu,0.750142872334,0.9963940382
0.1,clothes,100.0,2.0, elu,0.142857134342,13.8234519958
0.01,clothes,100.0,2.0, elu,0.71899998188,1.43104588985
0.01,clothes,10.0,2.0, elu,0.68957144022,1.86601579189
0.01,clothes,1.0,2.0, elu,0.142857134342,13.9972467422
0.01,clothes,0.1,2.0, elu,0.575999975204,7.2732796669
0.001,clothes,100.0,2.0, elu,0.767142832279,0.869673609734
0.001,clothes,10.0,2.0, elu,0.676714301109,1.66417729855
0.001,clothes,1.0,2.0, elu,0.701714277267,1.59237360954
0.001,clothes,0.1,2.0, elu,0.592428565025,2.64448142052
0.0001,clothes,100.0,2.0, elu,0.744000017643,1.11081540585
0.0001,clothes,10.0,2.0, elu,0.77271425724,1.26971042156
0.0001,clothes,1.0,2.0, elu,0.617428600788,2.58730220795
0.0001,clothes,0.1,2.0, elu,0.379571437836,3.56970787048
0.1,clothes,100.0,2.0, sigmoid,0.142857134342,1.9727448225
0.01,clothes,100.0,2.0, sigmoid,0.653857171535,3.01257157326
0.01,clothes,10.0,2.0, sigmoid,0.66585713625,3.13560509682
0.01,clothes,1.0,2.0, sigmoid,0.725000023842,1.57235598564
0.01,clothes,0.1,2.0, sigmoid,0.643571436405,1.27649474144
0.001,clothes,100.0,2.0, sigmoid,0.775857150555,0.812057673931
0.001,clothes,10.0,2.0, sigmoid,0.739571452141,0.939316749573
0.001,clothes,1.0,2.0, sigmoid,0.708571434021,0.989994049072
0.001,clothes,0.1,2.0, sigmoid,0.317285716534,2.36892843246
0.0001,clothes,100.0,2.0, sigmoid,0.781714260578,0.713343918324
0.0001,clothes,10.0,2.0, sigmoid,0.799857139587,0.841131150723
0.0001,clothes,1.0,2.0, sigmoid,0.458285719156,2.72192335129
0.0001,clothes,0.1,2.0, sigmoid,0.142857134342,3.58902835846
0.1,clothes,100.0,3.0, relu,0.142857134342,13.8279294968
0.01,clothes,100.0,3.0, relu,0.682428598404,1.1804343462
0.001,clothes,100.0,3.0, relu,0.748142838478,0.900643885136
0.0001,clothes,100.0,3.0, relu,0.737142860889,1.01726841927
0.1,clothes,100.0,3.0, elu,0.142857134342,13.8258314133
0.01,clothes,100.0,3.0, elu,0.712714314461,1.28814816475
0.01,clothes,10.0,3.0, elu,0.704714298248,2.08351254463
