learning_rate: 0.001, training_size: 500, batch_size: 50, num_epochs: 10, dataset_type: 2, dataset_size: 100, data_augmentation: False, model_type: 1, exp_name: 2, loss: 0.000201236487062, acc: 1.0
val_loss,val_acc,loss,acc
4.60985294,0.35666667,0.41704255,0.89520000
5.61819093,0.35730159,0.01676678,0.99956000
6.11031581,0.35587302,0.00589049,0.99988000
6.45078158,0.35507936,0.00298369,1.00000000
6.70389535,0.35650794,0.00152214,1.00000000
6.55940343,0.35460318,0.00360834,0.99924000
6.81109185,0.35444444,0.00072408,1.00000000
6.98181137,0.35523809,0.00043127,1.00000000
7.12147252,0.35603175,0.00029516,1.00000000
7.26423500,0.35571428,0.00023089,1.00000000
