learning_rate: 0.001, training_size: 500, batch_size: 50, num_epochs: 10, dataset_type: 1, dataset_size: 100, data_augmentation: False, model_type: 1, exp_name: 0, loss: 0.133123849956, acc: 0.962301587302
val_loss,val_acc,loss,acc
2.20481233,0.57814286,0.29712597,0.90812000
2.05786291,0.58800000,0.17760827,0.94348000
1.82051592,0.58157143,0.14074972,0.95656000
2.09567351,0.59542857,0.11754249,0.96340000
2.03684997,0.58857143,0.09835001,0.96952000
2.27118895,0.58757143,0.09252137,0.97200000
2.43867659,0.58357143,0.08106012,0.97436000
2.28496207,0.58557143,0.07810897,0.97592000
2.49738588,0.58800000,0.06975995,0.97792000
2.60482856,0.57685714,0.06590083,0.98016000
