learning_rate: 0.001, training_size: 500, batch_size: 50, num_epochs: 10, dataset_type: 1, dataset_size: 100, data_augmentation: True, model_type: 1, exp_name: 1, loss: 0.678989312838, acc: 0.798015873016
val_loss,val_acc,loss,acc
0.82019707,0.74128571,0.48963598,0.83487999
0.73631965,0.76642857,0.31398970,0.89708000
0.79067001,0.76214285,0.28396780,0.91108000
0.70116558,0.78542857,0.27781154,0.91072000
0.66008007,0.78642857,0.26552346,0.91572000
0.75938759,0.75842857,0.26667603,0.91448000
0.71880988,0.78314285,0.25561807,0.91860000
0.70820005,0.77485714,0.25291910,0.91936000
0.73398084,0.78371428,0.24169158,0.92128000
0.68805591,0.79042857,0.25087259,0.91920000
