learning_rate: 0.001, training_size: 500, batch_size: 50, num_epochs: 10, dataset_type: 2, dataset_size: 25, data_augmentation: True, model_type: 1, exp_name: 3, loss: 1.8883495959, acc: 0.535238095257
val_loss,val_acc,loss,acc
1.74880905,0.40460317,1.49379960,0.46824000
1.79695937,0.45317460,0.98520838,0.68056000
1.80788138,0.48063492,0.79247960,0.75444000
1.84181988,0.49190476,0.69954319,0.78552000
1.86378411,0.49904762,0.61758542,0.81255999
1.89512977,0.50380953,0.57254875,0.82387999
1.89301508,0.51619048,0.53870315,0.83459999
1.93771699,0.52126984,0.49979268,0.85079999
1.93560760,0.52476191,0.49058328,0.85040000
1.91532274,0.52761905,0.47145122,0.85895999
