learning_rate: 0.001, training_size: 500, batch_size: 50, num_epochs: 10, dataset_type: 2, dataset_size: 75, data_augmentation: False, model_type: 1, exp_name: 2, loss: 0.000291788132477, acc: 1.0
val_loss,val_acc,loss,acc
4.31496612,0.35015873,0.45241778,0.89700000
5.17218080,0.35047619,0.01636544,0.99948000
5.85322600,0.34714286,0.00503188,1.00000000
6.18286709,0.35063492,0.00261810,1.00000000
6.45905187,0.35095238,0.00136840,1.00000000
6.73688293,0.35047619,0.00087925,1.00000000
6.96371715,0.34952381,0.00059502,1.00000000
7.09042419,0.35000000,0.00039586,1.00000000
6.45453320,0.35253968,0.00561813,0.99864000
6.77585851,0.35079365,0.00039822,1.00000000
