learning_rate: 0.001, training_size: 500, batch_size: 50, num_epochs: 10, dataset_type: 2, dataset_size: 75, data_augmentation: True, model_type: 1, exp_name: 3, loss: 2.11966117544, acc: 0.530476190489
val_loss,val_acc,loss,acc
1.73921980,0.42698413,1.45868965,0.48488000
1.77965230,0.45968254,0.95937231,0.68856000
1.85934501,0.48571429,0.80286540,0.74496000
1.93760673,0.49174603,0.71299542,0.77576000
2.00049454,0.49698413,0.65783514,0.79452000
1.99442800,0.50650794,0.62154476,0.80835999
2.02915878,0.51476191,0.59358737,0.81672000
2.04597992,0.51888889,0.58595021,0.81428000
2.05139592,0.52460318,0.55120965,0.82915999
2.08497792,0.52079365,0.53636016,0.83803999
