learning_rate: 0.001, training_size: 500, batch_size: 50, num_epochs: 10, dataset_type: 1, dataset_size: 75, data_augmentation: True, model_type: 1, exp_name: 1, loss: 0.697131969386, acc: 0.78582010582
val_loss,val_acc,loss,acc
0.80484439,0.74228571,0.48153122,0.84520000
0.74885913,0.77028571,0.30885950,0.90104000
0.73471784,0.77628571,0.27339905,0.91116000
0.73523952,0.78899999,0.26456355,0.91720000
0.69439531,0.79114285,0.25252622,0.92048000
0.68009928,0.79514285,0.25763829,0.91872000
0.74506078,0.77471428,0.24788011,0.91968000
0.69502089,0.78442857,0.24661910,0.92344000
0.67483410,0.80142857,0.23707887,0.92560000
0.69599272,0.78128571,0.24309746,0.92372000
