learning_rate: 0.001, training_size: 500, batch_size: 50, num_epochs: 10, dataset_type: 1, dataset_size: 10, data_augmentation: False, model_type: 1, exp_name: 0, loss: 0.400445862446, acc: 0.935714285714
val_loss,val_acc,loss,acc
2.10066190,0.58614286,0.23631705,0.92704000
2.37202314,0.59157143,0.07958546,0.97580000
2.83983588,0.58600000,0.03691423,0.98968000
3.20964158,0.58500000,0.02226263,0.99464000
3.36737583,0.58971429,0.01609780,0.99712000
3.43914179,0.58500000,0.01008339,0.99804000
3.69670549,0.58457143,0.01039848,0.99924000
3.42469785,0.58085714,0.01781729,0.99592000
3.83779545,0.58300000,0.00817223,0.99924000
3.97463302,0.58642857,0.00554267,0.99972000
